Name	Project / product name	Link	Latitude	Longitude	Technology developer	Drone-powered service provider	Service provider to the drone industry	Academic / research institution	Other drone-related entity	Platforms	UTM	Comms	Subsystems	Navigation & autonomy	Drone-data processing	Systems integration / consultancy	Delivery drones	People carrying drones	Counter-drone	Other drone-related technologies
123 Drones		123drones.co.uk	51.68469	-0.25708		1														
1st Option Safety Group		1stoptionsafety.com	51.51748	-0.13658			1													
3 Axis-UAS		3axis-uas.co.uk/	50.80181	-1.125			1													
360 Aerial Imagery		360aerialimagery.co.uk	55.73655	-1.98989		1	1													
360 Panoramas		360p.co.uk	50.39483	-4.93403		1														
360 Unmanned Aerial Services	360 Unmanned Aerial Services	www.360uas.com	55.78874	-2.01585		1	1													
360 Virtual Tours		360virtualtours.co.uk	51.46824	-2.61268		1														
360fusion		360fusion.co.uk	54.57993	-1.23579		1														
360Skymedia		360skymedia.co.uk	51.7111	0.472924		1														
3Ic		3ic.co.uk	51.19371	-1.24802			1													
4D Ocean		http://www.4docean.com/	52.07588	-1.2192		1														
A J S Support		ajs-support.net	51.26368	-2.47946		1	1													
Aberdeenshire UAV and Countryside Services LTD		http://aucs.co.uk/	57.12694	-2.2013		1														
Above Air Media		aboveairmedia.co.uk/	52.3582	-0.18932		1														
Above All Else		aboveallelse.co.uk	56.37886	-3.27936		1														
Above All Images		aboveallimages.co.uk	52.32853	0.202179		1														
Above Surveying		abovesurveying.com/	51.88363	0.826436		1														
Above View		aboveview.co.uk	52.114	-0.51499		1	1													
Abraxas Photography		abraxasphoto.co.uk	52.11265	-0.49467		1														
Accelerated Dynamics	Making robots smarter	accelerateddynamics.co	51.49814	-0.06002	1									1	1					
Adamedia		adamediafilm.com/	54.44071	-3.53981		1														
Advanced Innovative Engineering (UK)		aieuk.com	52.69881	-1.81867	1								1							
Aerial Analysis		aerialanalysis.co.uk	52.35343	0.500826		1														
Aerial Camera Systems		aerialcamerasystems.com	51.62102	-0.76971		1														
Aerial Drone Shots		aerialdroneshots.co.uk	52.40493	-1.51521		1														
Aerial Effects		aerialeffects.co.uk	51.49511	-2.68103		1														
Aerial Exposure		aerialexposure.co.uk	54.41139	-1.74677			1													
Aerial FM		aerialfm.com	55.76731	-4.22384		1														
Aerial Focus		aerialfocus.media/	53.5405	-2.06913		1														
Aerial Inspection & Mapping Surveys		aerialinspectionandmapping.co.uk	53.26686	-1.44715		1														
Aerial Media Scotland		aerialmediascotland.co.uk	56.06062	-3.44696		1	1													
Aerial Media Services		aerialmediaservices.co.uk	50.79089	-3.65987		1														
Aerial Motion Pictures	Icarus, Terramap, Cineflow	www.aerialmotionpictures.co.uk	51.60647	-1.11323		1	1													
Aerial Peaks		aerialpeaks.co.uk	52.9189	-1.47269		1														
Aerial Photography Pros		aerialphotographypros.co.uk	52.54435	-4.04169		1														
Aerial Photography Scotland		wingman.co.uk	56.84872	-5.04758		1														
Aerial Power Limited	Solarbrush	www.aerialpower.com	51.5149	-0.12362	1	1				1			1							
Aerial Pro Media		aerial-pro-media.co.uk	51.12337	0.872647		1														
Aerial Video Pros		aerialvideopros.co.uk	52.53391	-1.39859		1														
Aerial Vision	Aerial Vision	http://aerialvision.co.uk/	55.9551	-3.19606		1														
Aerialpixls		aerialpixls.com	55.50246	-4.6137		1														
Aerialvue		aerialvue.co.uk	53.6578	-2.96521		1	1													
Aerialworx		aerialworx.co.uk	53.47286	-2.29968		1														
Aerios Media		aeriosmedia.com	52.00122	-0.80554		1														
Aerios Solutions		aeriossolutions.com	51.24671	-0.7551		1														
Aero Drones photography		aerodronesphotography.com	55.98665	-3.69755		1														
Aerolistic		aerolistic.com	55.7676	-4.20117		1														
aeroPeak - Aerial Media Specialists		aeropeak.uk	51.2668	-1.09048		1														
Aerosight	Aerosight	www.aerosight.co.uk	51.10032	0.292074		1														
Aerosnapper		aerosnapper.co.uk	54.38145	-3.42825		1														
Aerospace Technology Institute		ati.org.uk	52.06619	-0.6327					1											
Aeroviews		aeroviews.uk	52.0544	-3.96963		1														
Aesir		aesir-uas.com/	52.6638	0.160086	1					1						1				
Aether DroneWorks		aetherdroneworks.com	54.47191	-2.33633		1														
Agent Oriented Software Ltd		http://aosgrp.com	52.24989	0.107176	1									1					1	
Agrivue		agrivue.co.uk	52.24408	0.713815		1														
Agsense		agsense.co.uk	52.94992	-0.30083		1														
Ainsworth Digital		ainsworthdigital.co.uk	52.91889	-1.24937		1														
Air Control Energy		aircontrolenergy.co.uk	57.20324	-2.21885		1														
Air Focus		airfocuslimited.co.uk	51.33367	-0.79263		1														
Air Photo Services		airphotoservices.co.uk	51.56478	-1.80158					1											
Air Real		air-real.co.uk	52.47679	1.393756		1														
Air View Imaging		airviewimaging.co.uk	53.7013	-1.41388		1														
Airborne Lens		airbornelens.com	55.86546	-4.26894		1														
Airborne Media		airbornemedia.uk	56.0993	-3.91806		1														
Airborne Optics		airborneoptics.co.uk	55.03014	-1.50804		1														
Airborne Vision		airbornevisionltd.com	51.88082	-2.21288		1														
Airbus	Aibus Aerial	http://www.airbus.com/defence/uav.html	51.49725	-0.14749	1					1			1	1	1	1	1	1		
Airflicks		airflicks.co.uk	53.31151	-3.47624		1														
Airhawks		airhawks.co.uk	53.07797	-2.27096		1														
AirNinjas		airninjas.com	51.5149	-0.12462		1														
Airograph		airograph.co.uk	51.6406	-1.70721	1				1						1					
AirPixa		airpixa.co.uk	53.756347	-2.81509		1														
Airpro Images		airproimages.com	51.61576	-0.55463		1														
Airrow		airrow.co.uk	51.58688	-0.18038	1															1
Airstoc	Airstoc	airstoc.com	53.38708	-1.46439			1													
Airview Photography		airviewphotography.co.uk	54.19151	-6.14851		1														
Airview UAV Services		airviewuav.co.uk	51.1327	0.260685		1														
AIT Spatial		aitspatial.co.uk	52.00815	-0.40829	1				1						1					
Ak Aerial Photography		akaerialphotography.co.uk	51.52727	-0.0891		1														
ALDER TIMBER PRESERVATION		aldersurvey.com	57.48016	-4.22843		1														
Alti-Velo Industrial UAV Rentals		altivelo.com	57.36344	-2.05027	1		1			1										
Altispire	Altispire	www.altispire.com	51.94877	-0.87727		1														
Altitude Aerial Imagery	Altitude Aerial Imagery	www.altitudeaerialimagery.co.uk	52.32798	-2.04311		1														
Altitude Aerial Photography		altitudephotography.co.uk	51.27737	-1.11946		1														
Altitude Angel	Guardian UTM	www.altitudeangel.com	51.45733	-0.97604	1		1				1									
Altiview		altiview.co.uk	51.47364	-0.17645		1														
Amazon	Amazon Prime Air	https://www.amazon.com/Amazon-Prime-Air/b?node=8037720011	52.21423	0.112659	1					1				1			1			
amb-vision		amb-vision.co.uk/	54.37089	-2.90121	1															
AmeyVTOL		https://www.amey.co.uk/a-better-future/2017/may/the-future-of-asset-inspection/	51.71391	-1.21962	1	1				1			1			1				
ANDREWS & ARNOLD		aa.net.uk	51.415	-0.76666		1														
AML Air		http://amlair.co.uk/	55.068782	-3.582164		1														
Animal Dynamics	Skeeter	animal-dynamics.com	51.81866	-1.30563	1					1						1				
Antycip Simulation		antycipsimulation.com	51.91486	-1.24406	1															1
Apex Aerial Imaging		apexaerialimaging.co.uk	50.73955	-4.60903		1														
Apollo Drone Services		apollodroneservices.co.uk	51.18315	-0.27255		1														
Aquila UAS	Aquila	www.aquila-uas.com	54.03315	-6.08426		1														
Archangel Imaging		https://www.archangel.im/	51.52277	-0.08963	1								1	1	1					
ARGYLL TECHNOLOGIES		argylltechnologies.net	52.01458	-1.32102		1														
Arjun Technology Ventures	Kisan Hub	www.kisanhub.com	52.23482	0.129527	1		1													
Arpas-Uk		arpas.uk	51.27695	-0.7443					1											
Aspect Land & Hydrographic Surveys		aspectsurveys.com	55.61571	-4.66132		1														
Aspection		aspection.co.uk	53.08481	-2.80044		1														
Aspire Aerial Media		aspireaerialmedia.com	52.4507	0.703611		1														
Atkins		atkinsglobal.com/en-gb	51.32435	-0.26646					1											
Atlantic Geomatics (UK)		atlanticgeomatics.co.uk	54.6421	-2.83579		1														
Atlas Drones	Atlas Drones	www.atlasdrones.com	51.69544	-0.18315		1														
Atom Aerial	Atom Aerial	www.atom-aerial.com	53.80793	-1.65225		1														
Atom Air	Atom Air	www.atomair.co.uk	52.6287	1.30842		1														
Atom Consultants		atomconsultants.co.uk	53.67895	-1.57825		1														
Atticus Drones		atticusdrones.co.uk	51.22984	-2.19346		1														
AuraTech Engineering	Auratech, ATLAS	www.auratech.co.uk	54.52357	-1.5446	1	1									1					
Autonomous Flight		autonomousflight.com	51.23567	0.239143	1					1								1		
Avanti Communications		https://www.avantiplc.com	51.513	-0.1032	1							1								
Aviation Systems Group		asg.ltd	51.05703	-1.80597			1													
Aviontics		aviontics.co.uk	51.468629	-0.171455	1					1						1				
AZDEC		azdec.com	51.26421	-1.08914	1							1								
BAE Systems		https://www.baesystems.com/en-uk/product/unmanned-aircraft-systems	51.50593	-0.13398	1					1				1		1				
Bakehouse Aerial Filming		bakehouseaerial.co.uk	53.75954	-0.36481		1														
Barnard Microsystems Ltd	UAS Designer, Developer and Manufacturer. 	www.barnardmicrosystems.com	51.57852	-0.12544	1					1				1		1				
Barton Willmore		bartonwillmore.co.uk	51.45573	-0.96721		1														
BCB Robotics		http://uas.wales/	51.48991	-3.14432	1					1				1		1				
Beaumont Bespoke Roofing & Building		beaumontbespoke.co.uk	54.56802	-1.55442		1														
Bee Aerial		beeaerial.co.uk	51.41311	-0.18504		1														
Bence Command		bencecommand.com	51.54835	-2.43396	1		1													
BESQ		besq.co.uk	53.2019	-1.14898		1														
Big Sky Vision		bigskyvision.co.uk	51.31272	-0.59303		1														
Bird's Eye Drones Ltd		http://www.birdseyedrone.co.uk/	56.29104	-3.23804		1														
Birds Eye View Productions		birdseyeviewpro.co.uk	51.4915	-0.18147		1														
Birds i Images		birdsiimages.com	52.1281	1.11242		1														
Blighter Surveillance Systems		blighter.com	52.06064	0.194479	1														1	
Blue Bear Systems Research	RISER (Remote Intelligent Survey Equipment for Radiation) drone, N-Visage software. 	bbsr.co.uk	52.17546	-0.51971	1					1			1	1	1	1				
Blue Giraffe Imaging		bluegiraffeimaging.co.uk	55.90016	-4.199		1	1													
Bluefin Television		bluefintv.com	51.46028	-0.13774		1														
Bluesky Uav		blueskyuav.co.uk	52.88136	1.349784		1														
BMT Group		bmt.org	51.4268	-0.33431	1										1					
bookadrone	Hire commercial drone operators	www.bookadrone.co.uk	51.51105	-0.08478			1													
Brainboxes		brainboxes.com	53.34207	-2.88008	1								1							
Brighton Skycam		brightonskycam.co.uk	50.83304	-0.12188		1														
British Association of Remote Sensing Companies (BARSC)		barsc.org.uk	51.45763	-0.94564					1											
Broadhouse Media		broadhousemedia.co.uk	51.87246	0.966351		1														
BROADLAND COMPUTERS		broadlandcomputers.co.uk	52.77195	1.514832		1														
Build Your Own Drone		buildyourowndrone.co.uk	51.35521	-1.1415			1													
Buzz Drones		buzz-drones.co.uk	53.73771	-2.96344		1														
Cablescan		cablescan.co.uk	53.7228	-0.57524	1								1							
Caelus Drone Services		caelusdrones.co.uk	53.86405	-2.40133		1														
Caledonia Drone Services		http://www.caledonia-drone-services.co.uk/	57.25344	-2.14022		1														
Callen-Lenz / Sky Circuits		https://www.skycircuits.com	51.10159	-2.05082	1									1		1				
Cambridge UAV		http://www.cambridgeuav.co.uk	52.329112	-0.057799		1	1													
Camera In The Clouds		cameraintheclouds.co.uk	51.59215	-0.2543		1														
Camfly Films		camflyfilms.uk	51.62647	-0.10143		1														
Capture By Drone		capturebydrone.co.uk	51.01244	-3.10531		1														
Carbon Hawk		http://www.carbonhawk.co.uk/	51.8068	-0.34342		1														
CARES		cares-group.com	51.37875	-2.36743	1											1				
CASS PRODUCTIONS		cassproductions.co.uk	50.96961	-1.3581		1														
Cc Aerial Solutions		ccaerialsolutions.co.uk	50.43828	-3.5709		1														
Cella Energy		cellaenergy.com	51.58152	-1.31	1								1							
Centremaps		centremapslive.co.uk/help/which-service	52.14264	-2.33052	1	1									1					
Chartered Institute of Architectural Technologists (CIAT)		ciat.org.uk	51.53198	-0.10519					1											
Chess Dynamics	AUDS (Anti UAV Defence System)	www.chess-dynamics.com	51.08089	-0.31872	1														1	
Chilbolton Aerial Systems		chilbolton.org	51.114067	-1.49343		1														
Cinecopters		cinecopters.co.uk	54.60226	-5.90786		1														
CineFlite		cineflite.com	51.45903	-2.61023		1														
Cinematic Sky		cinematicsky.co.uk	54.99962	-7.3124		1														
Clogworks Technologies ltd		www.clogworks.com	53.56364	-1.75979	1					1										
Cloud Imaging		cloudimaging.co.uk/	53.78952	-2.28461		1														
Cloud Snapper		cloudsnapper.co.uk	52.42413	-1.82777		1														
Cloud3D		cloud3d.ltd	57.1445	-2.10321	1					1					1	1				
Cloud9 Aviation		cloud9aviation.co.uk	51.37691	-0.0306		1	1													
Cloudbase Aerial Art	Cloudbase Aerial Art	cloudbaseaerialart.com	50.96785	-1.35972		1														
Cloudbase Media		cloudbase.media	54.6022	-3.13461		1														
CloudUAV		clouduav.co.uk	51.524673	-0.084021		1														
CloudVisual UAS		cloudvisual.co.uk	51.81676	-0.3511		1														
Cobham		cobham.com	50.79667	-1.96858	1							1							1	
Commercial Drone Training		commercialdronetraining.co.uk	50.54544	-3.65657			1													
Complete Drone Solutions		completedronesolutions.co.uk	53.06701	-2.03478		1														
Complete View		completeview.org.uk	51.33086	-0.76662		1														
Consortiq		consortiq.com	50.87791	-1.24518	1		1		1		1									1
Construction Eagle		constructioneagle.co.uk	55.00726	-1.44922		1														
Coptrz	Commericial Drone soution provider.	coptrz.com	53.79487	-1.54662			1													
Corporate Image		corimage.co.uk	54.5995	-5.92846		1														
COSTAIN		costain.com	51.51136	-0.74644		1														
County Drones		county-drones.co.uk	51.53216	-2.55071		1														
Coverdrone	Coverdrone	coverdrone.com	53.08767	-2.44373			1													
Cranfield Aerospace	DEMON UAV - FLAVIIR - Flapless Air Vehicle Integrated Industrial Research	cranfieldaerospace.com	52.073027	-0.626472	1		1			1						1				
Cranfield University		https://www.cranfield.ac.uk/academic-disciplines/autonomous-systems	52.07392	-0.62876				1												
Createc		createc.co.uk	54.66724	-3.36608	1		1									1				
Ctr Drones		ctrdrones.co.uk	52.55583	1.712926		1														
Cyberhawk	Cyberhawk UAV Inspection & Survey	https://www.thecyberhawk.com/	55.87259	-3.54877	1	1									1					
Cyclone Aerial	Cyclone Aerial	www.cycloneaerial.com	51.48829	-0.14419		1														
Cyclops		cyclopsuav.co.uk	53.63365	-2.81593		1														
D.I.P.S		di-ps.com	57.1634	-2.10827		1														
Dartcom		dartcom.co.uk/home	50.57582	-3.93915	1															1
Dassault Systemes Simulia		3ds.com/products-services/simulia	53.43084	-2.5302	1															1
Dataq Technologies		dataqtechnologies.co.uk/?tmpl=comingsoon	52.34526	-1.57569	1															
Db Aerial Photography		dbaerialphotography.com	51.0745	-0.33011		1														
Dependable Drones		http://dependabledrones.co.uk/	54.29782	-1.34478		1														
Desire Rc		desirerc.com/index.php/en	50.84319	-1.78628		1														
Devon And Cornwall Drones		devonandcornwalldrones.co.uk	50.37207	-4.19618		1														
Diametrex	UF 1000 - Standalone automated area protection.	www.diametrex.com	51.52562	-0.08363	1						1								1	
Digital Aviation	Digital Aviation	www.digitalaviation.co.uk	53.52144	-2.29058		1														
DJM Aerial Solutions		djm-aerial.com/	54.57014	-1.23844		1														
Dkb Inspection Services		dkbinspectionservices.co.uk	54.98904	-1.40853		1														
DPM Aviation Services Ltd		http://www.dpmaviationservices.com/	51.53066	-0.09357		1														
Dragon Uav		dragonuav.co.uk	52.51552	-3.31575		1														
Dragonfly Uav Technologies		dragonflyuavtechnologies.co.uk	51.65425	-0.324		1														
Dragons Eye View		dragonseyeview.co.uk	51.74603	-4.56011		1														
Drift Media		driftmedia.co.uk	52.8315	0.846275		1														
Drodion		drodion.com	55.91268	-3.00228	1	1													1	
Drone Aerial Operators Groups		https://droneaerialops.com/	55.50563	-1.93302		1														
Drone Aerial Views		Drone Aerial Views	51.506694	-0.135043		1														
Drone Builders		dronebuilders.co.uk	51.16361	-0.28801			1													
Drone Consulting		droneconsulting.eu	51.0738	-1.79116		1			1											
Drone Defence		dronedefence.co.uk	51.514279	-0.124238	1						1								1	
Drone Direction		dronedirection.co.uk	52.76238	-1.37362		1														
Drone Doctor		https://www.dronedoctor.co.uk/	53.94458	-1.09401			1													
Drone Dog Aerial Photography		thedronedog.co.uk	55.869	-4.87462		1														
Drone Explorer	Drone Explorer	www.droneexplorer.co.uk	51.066246	-1.321127		1														
Drone Flying Services		droneflyingservices.co.uk	52.35671	-2.00623		1														
Drone Guard		droneguardinsurance.co.uk	51.02484	-0.35014			1													
Drone List		dronelist.co.uk	53.474452	-2.254757					1											
Drone Logik		dronelogik.co.uk	52.64929	-2.7536		1														
Drone Major Group		dronemajorgroup.com	51.50548	-0.0063					1											
Drone Motion		dronemotion.io	51.58562	-1.26055		1														
Drone My Business Ltd	Drone My Business	www.dronemybusiness.co.uk	51.06101	-1.31784		1														
Drone Norfolk		dronenorfolk.com	52.96473	0.645927		1														
Drone Ops	Drone Ops	drone-operations.com	54.97238	-1.62343	1	1	1									1				
Drone Perspective		droneperspective.co.uk	51.52182	-0.1015		1														
Drone Photography Services		dronephotographyservices.co.uk	50.38835	-4.74654		1														
Drone Pilot Academy		dronepilotacademy.co.uk	53.54338	-1.50479			1													
Drone Recon		dronerecon.co.uk	53.11322	-3.03131		1														
Drone Security Defence	Drone defence	dronedefence.co.uk	51.51424	-0.122654	1														1	
Drone Space AI	Apis.AI	dronespaceai.com	51.52259	-0.08537	1									1	1					
Drone Vantage		dronevantage.co.uk	54.69991	-5.85032		1														
Drone View (NE)		droneviewneltd.co.uk	54.99191	-1.52645		1														
Drone View Media		droneview.media	53.72457	-0.4007		1														
