Name	Link	Latitude	Longitude	Company	Funder	Incubator/accelerator	University/RTO	Sector 1	Sector 2	Sector 3	Sector 4	Sector 5	Sector 6	Sector 7	Sector 8	Sector 9	Sector 10	Sector 11
Par Equity	parequity.com	55.953346	-3.188374	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Abingworth	abingworth.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Longbow Capital	longbow.co.uk	52.628606	1.29227	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Seneca Partners	senecapartners.co.uk	53.467195	-2.661806	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Piton Capital	pitoncap.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GM&C Life Sciences Fund	gmclifesciencesfund.com	53.305836	-2.237578	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Baillie Gifford	bailliegifford.com	55.953346	-3.188374	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BACKED VC	backed.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Angels 5K	angels5k.org.uk	51.061277	-1.313169	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Seedcamp	seedcamp.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hygea VCT	hygeavct.com	52.029761	-1.148458	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrée Capital	entreecap.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hambro Perks Ltd.	hambroperks.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxford Investment Consultants LLP	oxfordinvestmentconsultants.com	51.752013	-1.25785	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
24 Haymarket	24haymarket.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Greyhound Capital	greyhoundcapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft Accelerator London	microsoftaccelerator.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Boundary Capital Partners LLP	boundarycapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L Marks	lmarks.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Helios Investment Partners	heliosinvestment.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Global Innovation Fund	globalinnovation.fund	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mustard Seed	mustardseed.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
REV	rev.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Blenheim Chalcot	blenheimchalcot.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Low Carbon Innovation Fund	lowcarbonfund.co.uk	52.628606	1.29227	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Novator	novator.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Martlet Capital	martletcap.com	52.203482	0.123582	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YFM Equity Partners	yfmep.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Concrete Venture Capital	concretevc.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Upscale	technation.io	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Imperial Create Lab	imperialcollegeunion.org	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Nesta Impact Investments	nestainvestments.org.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ballpark Ventures	ballparkventures.com	51.899569	-2.071156	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Schroders	schroders.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Clarendon Fund Managers	clarendon-fm.co.uk	54.596441	-5.930276	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CVC Capital Partners	cvc.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NCSC Cyber Accelerator	ncsc.gov.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LVP	londonvp.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PROfounders Capital	profounderscapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lansdowne Partners	lansdownepartners.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hermes GPE	hermesgpe.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
One Peak Partners	onepeakpartners.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxygen Accelerator	oxygenaccelerator.com	52.47754	-1.894053	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Delin Ventures	delinventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Better Capital	bettercapital.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Standard Chartered Bank	sc.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Deepbridge Capital	deepbridgecapital.com	53.190887	-2.890896	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eos Venture Partners	eosventurepartners.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Woodford Investment Management	woodfordfunds.com	51.752013	-1.25785	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi Labs	pilabs.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Longwall Venture Partners	longwallventures.com	51.599974	-1.290916	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterprise Ventures	evgroup.uk.com	53.758994	-2.705162	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gauss Ventures	gauss.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EG Capital Advisors	egcapitaladvisors.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IronCapital	iron-capital.co	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
The North West Fund	thenorthwestfund.co.uk	53.401858	-2.568022	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Generation Investment Management	generationim.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMC Ventures	mmc.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADV	accelerated.ventures	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bethnal Green Ventures	bethnalgreenventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Blossom Capital	blossomcap.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
InReach Ventures	inreachventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
QVentures	qventures.co	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Geovation	geovation.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Edenred Capital Partners	edenredcapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Innovate UK	innovateuk.gov.uk	51.561368	-1.785685	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GEIF Ventures	geifventures.co.uk	52.203482	0.123582	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YYX Capital	yyxcapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Maven Capital Partners	mavencp.com	55.861139	-4.250167	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AlbionVC	albion.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
InMotion Ventures	inmotionventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Toscafund Asset Management	toscafund.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
The Capital Fund	thecapitalfund.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cass Entrepreneurship Fund	cassentrepreneurship.fund	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Brookstreet Equity Partners	brookstreetequity.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Concentric	concentricteam.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3i Group	3i.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrepreneurs Fund	entrepreneursfund.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Startupbootcamp	startupbootcamp.org	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Startup Campus	startupcampus.hu	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Azini Capital Partners	azini.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Northern Powerhouse Investment Fund	npif.co.uk	53.380663	-1.470228	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ignite Accelerator	ignite.io	54.973847	-1.613157	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Libertus Capital	libertuscapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fidelity International Strategic Ventures	fisv.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pentech Ventures	pentech.vc	55.953346	-3.188374	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Medicxi Ventures	medicxiventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Scottish Equity Partners	sep.co.uk	55.861139	-4.250167	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SoftBank Vision Fund	visionfund.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Isomer Capital	isomercapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Rising Stars	technation.io	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NEX Opportunities	nexopportunities.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NVM Private Equity	nvm.co.uk	54.973847	-1.613157	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Advent Life Sciences	adventls.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Potential VC	potential.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Crane Venture Partners	crane.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Techstart Ventures	techstart.vc	54.596441	-5.930276	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Reuters Venture Capital	rvc.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SAATCHiNVEST	saatchinvest.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Flashpoint	flashpointvc.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Momentum London	momentumlondon.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxford University Innovation	innovation.ox.ac.uk	51.752013	-1.25785	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Angels Den	angelsden.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Wren Capital	wrencapital.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Blue Wire Capital	bluewirecapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSMA Ecosystem Accelerator	gsma.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Actis	act.is	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Episode 1	episode1.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Harbert European Growth Capital	harbert.net	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CodeBase	thisiscodebase.com	55.953346	-3.188374	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Equity Gap	equitygap.co.uk	55.953346	-3.188374	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Northern Stars	technation.io	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dresdner Kleinwort	dresdnerkleinwort.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4BIO Capital	4biocapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Future Fifty	futurefifty.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sure Valley Venture	suirvalleyventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Apis Partners	apis.pe	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
New Wave Ventures	nwventures.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
UCL Technology Fund	ucltf.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
West Hill Capital	westhillcapital.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Digital Science	digital-science.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RIT Capital Partners	ritcap.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Advent Venture Partners	adventventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Rooks Nest Ventures	rooksnestventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
iStarter	istarter.it	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Assiya Capital Partners	assiya-cap.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Simpleweb	simpleweb.co.uk	51.453802	-2.597299	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
WPP Ventures	wppventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Macquarie Capital	macquarie.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Startupbootcamp InsurTech London	startupbootcamp.org	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Blackfinch Ventures	blackfinch.com	51.865371	-2.245819	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GP Bullhound	gpbullhound.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSTEMIQ	systemiq.earth	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobeus Equity Partners	mobeusequity.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Founders Factory	foundersfactory.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TempoCap	tempocap.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Creative England	creativeengland.co.uk	51.453802	-2.597299	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Manta Ray Ventures	mantaray.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ESA Business Applications	business.esa.int	51.752013	-1.25785	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascension Ventures	ascensionventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
True.	true.global	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cibus Fund	cibusfund.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Midlands Engine Investment Fund	meif.co.uk	52.47754	-1.894053	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Startupbootcamp FinTech London	startupbootcamp.org	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Kelvin Capital	kelvincapital.com	55.861139	-4.250167	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Juno Capital Partners	junocapital.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Millhouse LLC	millhouse.co	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Breega	breega.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Clearly Social Angels	clearlyso.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Doughty Hanson & Co	doughtyhanson.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tate & Lyle Ventures	tateandlyle.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Emerge Education	emerge.education	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
dmg ventures	dmgventures.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Crescent Capital	crescentcapital.co.uk	54.596441	-5.930276	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TrueSight Ventures	truesight.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
G1 Ventures	g1.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mercia Asset Management PLC	mercia.co.uk	52.290713	-1.780685	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Angular Ventures	angularventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Huckletree Alpha Programme London	huckletree.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Avlar BioVentures	avlar.com	52.226181	0.043519	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Excalibur Fund Managers	excalibur-group.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxton Ventures	hoxtonventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Beringea	beringea.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hikma Ventures	hikmaventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Elderstreet Investments	elderstreet.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Kreos Capital	kreoscapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AXM Venture Capital	axmvc.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Grafton Capital	graftoncapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
European Union	europa.eu	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sigma Capital Group	sigmacapital.co.uk	55.953346	-3.188374	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Apposite Capital	appositecapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7percent Ventures	7percent.vc	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Apax Partners	apax.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NPIF Maven Equity Finance	mavencp.com	55.861139	-4.250167	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Aviva Ventures	digital.aviva.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxford Technology Management	oxfordtechnology.com	51.752013	-1.25785	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Force Over Mass Capital	fomcap.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Nauta Capital	nautacapital.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ETF Partners	etfpartners.capital	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F2 Ventures	f2-ventures.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Draper Esprit	draperesprit.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Coinsilium Group	coinsilium.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Business Growth Fund	bgf.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MVM Life Science Partners	mvm.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
VentureFounders	venturefounders.co.uk	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zouk Capital	zouk.com	51.507322	-0.127647	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
